ExhibitionId|BoothNum|NewNav|Sharp|NewSPC|Hall|Fx
353|1A71|722,745,757,763|rect||1H|
353|1A73|774,745,809,763|rect||1H|
353|1A75|808,745,837,763|rect||1H|
353|1A77|837,745,855,763|rect||1H|
353|1A79|854,745,890,763|rect||1H|
353|1A81|912,746,950,763|rect||1H|
353|1A83|949,746,973,763|rect||1H|
353|1A85|972,746,995,763|rect||1H|
353|1A87|994,746,1019,763|rect||1H|
353|1A91|1018,746,1056,763|rect||1H|
353|1C01|417,728,417,694,360,694,394,728|poly||1H|
353|1C05|308,642,389,642,389,677,343,677|poly||1H|
353|1C11|434,694,464,729|rect||1H|
353|1C15|406,642,453,677|rect||1H|
353|1C21|463,694,538,729|rect||1H|
353|1C25|452,642,538,677|rect||1H|
353|1C61|606,650,671,729|rect||1H|
353|1C63|670,651,722,694|rect||1H|
353|1C65|670,694,722,729|rect||1H|
353|1C71|740,697,802,728|rect||1H|
353|1C73|739,651,777,697|rect||1H|
353|1C77|777,650,803,698|rect||1H|
353|1C81|820,702,890,729|rect||1H|
353|1C83|820,651,850,702|rect||1H|
353|1C85|850,650,890,702|rect||1H|
353|1C89|911,650,942,729|rect||1H|
353|1C91|941,705,967,729|rect||1H|
353|1C93|941,650,967,706|rect||1H|
353|1C95|983,688,1016,729|rect||1H|
353|1C97|1015,688,1056,729|rect||1H|
353|1C99|983,650,1056,688|rect||1H|
353|1E01|154,486,218,486,219,552|poly||1H|
353|1E05|242,486,242,574,219,552,219,486|poly||1H|
353|1E11|259,567,259,593,286,618,351,618,351,567|poly||1H|
353|1E15|259,486,329,568|rect||1H|
353|1E17|328,486,352,568|rect||1H|
353|1E21|368,486,403,619|rect||1H|
353|1E25|402,487,446,619|rect||1H|
353|1E26|463,567,486,619|rect||1H|
353|1E27|463,486,486,568|rect||1H|
353|1E31|486,486,538,619|rect||1H|
353|1E61|607,576,700,628|rect||1H|
353|1E63|607,486,722,486,722,535,699,535,699,576,607,576|poly||1H|
353|1E65|699,576,722,628|rect||1H|
353|1E67|699,536,723,576|rect||1H|
353|1E71|739,486,777,628|rect||1H|
353|1E75|777,486,803,628|rect||1H|
353|1E77|820,596,858,628|rect||1H|
353|1E79|820,487,858,597|rect||1H|
353|1E81|858,575,889,628|rect||1H|
353|1E83|858,487,889,576|rect||1H|
353|1E85|912,576,966,628|rect||1H|
353|1E87|912,486,966,577|rect||1H|
353|1E91|984,487,1056,628|rect||1H|
353|1J01|92,390,92,426,118,450,170,450,170,390|poly||1H|
353|1J03|84,342,118,390|rect||1H|
353|1J05|170,390,234,451|rect||1H|
353|1J07|118,342,234,390|rect||1H|
353|1J11|256,396,320,451|rect||1H|
353|1J13|256,342,320,396|rect||1H|
353|1J15|320,370,374,450|rect||1H|
353|1J17|320,342,375,371|rect||1H|
353|1J21|391,382,455,451|rect||1H|
353|1J23|391,342,455,382|rect||1H|
353|1J25|455,396,538,450|rect||1H|
353|1J27|454,342,538,397|rect||1H|
353|1J61|607,336,686,451|rect||1H|
353|1J65|685,376,754,451|rect||1H|
353|1J67|685,336,754,377|rect||1H|
353|1J71|771,376,831,450|rect||1H|
353|1J73|771,335,831,377|rect||1H|
353|1J75|831,377,890,450|rect||1H|
353|1J77|831,336,890,377|rect||1H|
353|1J81|912,359,953,450|rect||1H|
353|1J83|912,335,953,359|rect||1H|
353|1J91|969,376,1010,451|rect||1H|
353|1J93|969,335,1010,377|rect||1H|
353|1J95|1010,335,1056,451|rect||1H|
353|1L01|84,241,125,319|rect||1H|
353|1L03|142,275,178,318|rect||1H|
353|1L05|141,241,179,276|rect||1H|
353|1L07|178,275,234,318|rect||1H|
353|1L09|178,241,234,276|rect||1H|
353|1L11|257,273,305,318|rect||1H|
353|1L13|256,241,306,273|rect||1H|
353|1L15|305,281,374,318|rect||1H|
353|1L17|305,241,374,282|rect||1H|
353|1L21|391,275,429,319|rect||1H|
353|1L23|391,241,464,276|rect||1H|
353|1L25|429,275,463,275,463,281,538,281,538,318,429,318|poly||1H|
353|1L27|463,241,538,282|rect||1H|
353|1L61|607,241,700,314|rect||1H|
353|1L65|698,264,754,313|rect||1H|
353|1L67|700,241,754,265|rect||1H|
353|1L71|771,276,806,313|rect||1H|
353|1L73|771,241,806,276|rect||1H|
353|1L75|806,292,826,313|rect||1H|
353|1L76|806,272,826,293|rect||1H|
353|1L77|806,242,826,272|rect||1H|
353|1L79|842,287,866,313|rect||1H|
353|1L80|843,267,866,287|rect||1H|
353|1L81|842,241,866,268|rect||1H|
353|1L83|866,287,889,314|rect||1H|
353|1L84|866,267,890,288|rect||1H|
353|1L85|866,242,890,267|rect||1H|
353|1L87|912,275,946,313|rect||1H|
353|1L89|912,241,947,275|rect||1H|
353|1L91|946,286,964,313|rect||1H|
353|1L92|946,264,964,286|rect||1H|
353|1L93|946,241,964,264|rect||1H|
353|1L95|981,290,998,313|rect||1H|
353|1L96|981,267,998,290|rect||1H|
353|1L97|981,241,998,267|rect||1H|
353|1L99|998,241,1057,313|rect||1H|
353|1P01|83,189,125,223|rect||1H|
353|1P05|135,189,171,223|rect||1H|
353|1P07|170,189,234,223|rect||1H|
353|1P11|256,189,309,225|rect||1H|
353|1P15|308,190,374,225|rect||1H|
353|1P21|392,189,464,224|rect||1H|
353|1P25|463,189,539,224|rect||1H|
353|1P61|607,189,679,224|rect||1H|
353|1P65|679,190,754,224|rect||1H|
353|1P71|770,189,832,225|rect||1H|
353|1P75|832,190,889,225|rect||1H|
353|1P81|912,189,982,223|rect||1H|
353|1P85|981,189,1055,223|rect||1H|
353|1Q01|1124,746,1205,763|rect||1H|
353|1Q11|1205,746,1276,762|rect||1H|
353|1Q13|1294,746,1317,763|rect||1H|
353|1Q15|1317,746,1341,763|rect||1H|
353|1Q17|1340,745,1363,763|rect||1H|
353|1Q19|1362,745,1386,763|rect||1H|
353|1Q21|1386,745,1410,763|rect||1H|
353|1Q23|1431,745,1455,763|rect||1H|
353|1Q25|1454,745,1478,763|rect||1H|
353|1Q27|1478,745,1501,763|rect||1H|
353|1Q29|1518,725,1535,742|rect||1H|
353|1Q33|1518,714,1535,726|rect||1H|
353|1Q35|1519,702,1536,714|rect||1H|
353|1Q39|1519,656,1536,702|rect||1H|
353|1Q41|1518,627,1535,656|rect||1H|
353|1Q43|1518,605,1535,628|rect||1H|
353|1Q45|1518,581,1535,605|rect||1H|
353|1Q47|1518,558,1536,582|rect||1H|
353|1Q49|1518,524,1536,559|rect||1H|
353|1Q51|1518,486,1535,524|rect||1H|
353|1R01|1125,682,1162,729|rect||1H|
353|1R05|1125,650,1197,683|rect||1H|
353|1R07|1162,682,1197,729|rect||1H|
353|1R11|1214,694,1249,729|rect||1H|
353|1R15|1214,650,1254,694|rect||1H|
353|1R17|1248,694,1286,729|rect||1H|
353|1R19|1254,651,1286,694|rect||1H|
353|1R21|1302,650,1332,729|rect||1H|
353|1R27|1331,650,1358,729|rect||1H|
353|1R31|1374,690,1410,729|rect||1H|
353|1R35|1374,650,1410,690|rect||1H|
353|1R61|1433,690,1470,729|rect||1H|
353|1R65|1432,650,1470,691|rect||1H|
353|1R71|1470,690,1502,729|rect||1H|
353|1R75|1470,650,1502,692|rect||1H|
353|1S01|1125,599,1165,627|rect||1H|
353|1S05|1125,486,1165,600|rect||1H|
353|1S07|1164,487,1196,627|rect||1H|
353|1S11|1214,602,1254,628|rect||1H|
353|1S15|1214,486,1254,602|rect||1H|
353|1S17|1254,598,1289,628|rect||1H|
353|1S19|1254,486,1289,598|rect||1H|
353|1S21|1306,578,1364,628|rect||1H|
353|1S25|1306,486,1358,579|rect||1H|
353|1S31|1363,578,1410,628|rect||1H|
353|1S35|1358,486,1410,578|rect||1H|
353|1S61|1433,596,1470,628|rect||1H|
353|1S65|1432,486,1467,597|rect||1H|
353|1S71|1469,595,1502,628|rect||1H|
353|1S75|1466,486,1501,596|rect||1H|
353|1T01|1125,336,1166,451|rect||1H|
353|1T05|1166,370,1199,450|rect||1H|
353|1T07|1165,336,1200,371|rect||1H|
353|1T11|1217,335,1272,451|rect||1H|
353|1T21|1289,382,1341,451|rect||1H|
353|1T25|1288,336,1315,382|rect||1H|
353|1T29|1314,335,1340,382|rect||1H|
353|1T31|1358,387,1410,451|rect||1H|
353|1T35|1358,335,1384,388|rect||1H|
353|1T41|1384,335,1409,387|rect||1H|
353|1T65|1432,335,1470,451|rect||1H|
353|1T71|1470,353,1502,451|rect||1H|
353|1T75|1469,335,1502,354|rect||1H|
353|1U01|1125,241,1180,314|rect||1H|
353|1U05|1180,281,1200,313|rect||1H|
353|1U09|1180,241,1199,281|rect||1H|
353|1U11|1217,293,1238,313|rect||1H|
353|1U13|1217,273,1237,293|rect||1H|
353|1U15|1217,241,1237,273|rect||1H|
353|1U17|1237,275,1271,313|rect||1H|
353|1U19|1237,241,1271,275|rect||1H|
353|1U21|1289,278,1410,313|rect||1H|
353|1U25|1288,241,1335,278|rect||1H|
353|1U27|1334,241,1373,278|rect||1H|
353|1U29|1372,241,1410,278|rect||1H|
353|1U31|1432,286,1501,314|rect||1H|
353|1U35|1432,241,1473,287|rect||1H|
353|1U39|1473,241,1501,287|rect||1H|
353|1W01|1124,189,1217,224|rect||1H|
353|1W07|1216,189,1272,224|rect||1H|
353|1W11|1288,189,1375,224|rect||1H|
353|1W21|1374,189,1410,224|rect||1H|
353|1W31|1432,189,1502,224|rect||1H|
353|1W33|1518,189,1536,282|rect||1H|
353|1W43|1518,281,1537,338|rect||1H|
353|1W45|1518,338,1537,374|rect||1H|
353|1W47|1518,373,1536,408|rect||1H|
353|1W49|1518,407,1536,450|rect||1H|
353|2A01|373,180,407,198|rect||2H|
353|2A11|406,180,447,198|rect||2H|
353|2A31|446,180,493,198|rect||2H|
353|2A41|493,181,517,198|rect||2H|
353|2A55|516,180,540,198|rect||2H|
353|2A61|611,181,649,198|rect||2H|
353|2A63|649,180,672,198|rect||2H|
353|2A65|671,180,694,198|rect||2H|
353|2A67|694,181,718,198|rect||2H|
353|2A69|718,181,755,198|rect||2H|
353|2A71|772,180,814,198|rect||2H|
353|2A73|813,180,850,198|rect||2H|
353|2A79|850,181,891,199|rect||2H|
353|2A81|914,180,954,205|rect||2H|
353|2A85|914,204,954,249|rect||2H|
353|2A91|954,180,1058,250|rect||2H|
353|2B01|346,216,376,215,375,251,311,250|poly||2H|
353|2B11|294,266,346,302|rect||2H|
353|2B15|346,266,375,302|rect||2H|
353|2B41|392,215,416,233|rect||2H|
353|2B43|415,215,444,233|rect||2H|
353|2B45|392,232,445,302|rect||2H|
353|2B51|461,214,479,235|rect||2H|
353|2B53|462,235,479,255|rect||2H|
353|2B55|462,266,479,302|rect||2H|
353|2B59|479,214,539,214,540,301,479,302,479,267,462,267,461,255,478,254|poly||2H|
353|2B61|611,214,726,301|rect||2H|
353|2B65|726,214,755,267|rect||2H|
353|2B67|726,267,755,284|rect||2H|
353|2B69|726,283,755,302|rect||2H|
353|2B71|772,214,795,232|rect||2H|
353|2B72|772,232,796,249|rect||2H|
353|2B73|795,214,818,233|rect||2H|
353|2B74|795,232,818,249|rect||2H|
353|2B75|818,214,841,232|rect||2H|
353|2B76|818,232,842,250|rect||2H|
353|2B77|842,215,864,232|rect||2H|
353|2B78|842,233,865,250|rect||2H|
353|2B79|865,214,890,232|rect||2H|
353|2B80|864,232,891,250|rect||2H|
353|2B81|772,266,796,285|rect||2H|
353|2B82|772,284,795,301|rect||2H|
