Category|RID
A|1701
C|1701
A|1702
C|1702
A|1703
C|1703
A|1704
A|1705
C|1705
A|1706
C|1706
A|1707
A|1708
C|1708
A|1709
C|1709
A|1710
C|1710
A|1711
A|1712
A|1713
A|1714
C|1714
A|1715
A|1716
A|1717
B|1718
A|1719
B|1720
A|1721
C|1721
A|1722
C|1722
A|1723
A|1724
A|1725
C|1725
B|1726
A|1727
C|1727
A|1728
C|1728
A|1729
A|1730
B|1731
A|1732
C|1732
A|1733
A|1734
A|1735
A|1736
A|1737
C|1737
B|1738
B|1739
A|1740
B|1741
A|1742
B|1743
A|1744
C|1744
A|1745
A|1746
C|1746
B|1747
C|1747
A|1748
A|1749
C|1749
A|1750
A|1751
A|1752
A|1753
B|1754
B|1755
A|1756
B|1757
A|1758
A|1759
C|1759
A|1760
C|1760
A|1761
B|1762
B|1763
A|1764
A|1765
A|1766
A|1767
A|1768
A|1769
A|1770
A|1771
A|1772
C|1772
B|1773
C|1773
B|1774
B|1775
C|1775
B|1776
C|1776
A|1777
C|1777
A|1778
C|1778
A|1779
C|1779
B|1780
C|1780
A|1781
C|1781
A|1782
A|1783
A|1784
A|1785
C|1785
A|1786
A|1787
B|1788
A|1789
C|1789
A|1790
B|1791
C|1791
B|1792
C|1792
B|1793
A|1794
A|1795
B|1796
C|1796
B|1797
A|1798
A|1799
A|17100
A|17101
A|17102
A|17103
B|17104
A|17105
A|17106
B|17107
A|17108
A|17109
B|17110
A|17111
B|17113
B|17114
A|17115
A|17116
B|17117
A|17118
A|17119
B|17120
A|17121
A|17122
A|17123
C|17123
A|17124
C|17124
A|17125
C|17125
A|17126
C|17126
B|17127
C|17127
B|17128
C|17128
B|17129
C|17129
A|17130
C|17130
A|17131
C|17131
A|17132
C|17132
A|17133
C|17133
A|17134
C|17134
A|17135
C|17135
A|17136
C|17136
A|17137
C|17137
A|17138
B|17139
C|17139
B|17140
C|17140
B|17141
C|17141
A|17142
A|17143
A|17144
A|17145
C|17145
A|17146
C|17146
A|17147
A|17148
C|17148
B|17149
C|17149
B|17150
C|17150
B|17151
B|17152
C|17152
A|17153
A|17154
C|17154
A|17155
C|17155
A|17156
