RID|CompanyID|BoothNo|CompanyNameEn|CompanyNameSc|CompanyNameTc|Product_Name_SC|Rroduct_Description_SC|Product_Name_TC|Rroduct_Description_TC|Product_Name_EN|Rroduct_Description_EN|
1701|227528|3.2E65|ZHANGJIAGANG XINBEI MACHINERY CO., LTD.|张家港市新贝机械有限公司|張家港市新貝機械有限公司|钢丝钢带管撕碎机|最新改进版单轴撕碎机，可应用于钢丝钢带管、PE管、机头料等硬质物料的回收，同是自带磁选分离系统。 经进一步改进，设备可同是应用于软质物料如吨包带、薄膜等产品的粉碎回收。 单机实现多功能应用。 机器主体部分皆由加工中心一体加工，机械精度和稳固有技术保障，自我加工降低成本，再次为客人省钱！|鋼絲鋼帶管撕碎機|最新改進版單軸撕碎機，可應用於鋼絲鋼帶管、PE管、機頭料等硬質物料的回收，同是自帶磁選分離系統。 經進一步改進，設備可同是應用於軟質物料如噸包帶、薄膜等產品的粉碎回收。 單機實現多功能應用。 機器主體部分皆由加工中心一體加工，機械精度和穩固有技術保障，自我加工降低成本，再次為客人省錢！|METEL PIPES SHREDDER|Multi-usage shredder, one machine could be used upon pipes, lumps, rubber and also bags, film, filaments. One machine realize recycling both solid and soft materials. All connection parts are processed by machinery centre, which guarantees the exact delication and machine long service life. With large quantity raw materials preparing and big production ability, the cost is controlled lower, so is the final price. The machine is a combination of good price, strong ability as well as long service life.|
1702|227964|5.2C55|CUMSA STANDARD PARTS FOR MOULDS|坤盛模具零配件（深圳）有限公司|坤盛模具零配件（深圳）有限公司|双齿条斜顶机构|从14毫米到52毫米的脱模行程. 无须复杂的高精度斜孔加工. 大量节省了加工和装配的时间和成本. 显著减少顶出行程. 镜像件可对应‘1+1 左右件模具. 垂直的斜顶杆使斜顶的强度达到最大化. 更小.更低成本的注塑机要求. 对于大角度 & 大斜度倒钩脱模更加简单及优化模具结构.|雙齒條斜頂機構|從14毫米到52毫米的脫模行程. 無須複雜的高精度斜孔加工. 大量節省了加工和裝配的時間和成本. 顯著減少頂出行程. 鏡像件可對應‘1+1 左右件模具. 垂直的斜頂杆使斜頂的強度達到最大化. 更小.更低成本的注塑機要求. 對於大角度 & 大斜度倒鉤脫模更加簡單及優化模具結構.|DOUBLE RACK SYSTEM|De-moulding strokes from 14mm to 52mm. Eliminates the need for high-precision angled housings in the core plates. Complete flexibility for the moulding insert dimension. Big savings in time & cost for machining and adjustments. Significant reduction to the ejection stroke. "Mirror" parts available for 1 plus 1 cavities moulds. Vertical function maximizing strength. Smaller and less expensive injection machine required. Easy for big angle undercuts, make molds design simple.|
1703|228150|1.2L41|Haihang Machinery CO., LTD|温州海航机械有限公司|溫州海航機械有限公司|纸巾刀叉勺全自动包装机|纸巾刀叉勺包装机， 纸巾自动折迭，裁切，下料， 刀叉勺下料器自动下料， 盐包胡椒粉下料器自动下料 产品再包装在一起 实现增加效率，减少劳动力，更加稳定，减少次品率，为工厂实现利益最大化|紙巾刀叉勺全自動包裝機|紙巾刀叉勺包裝機， 紙巾自動折迭，裁切，下料， 刀叉勺下料器自動下料， 鹽包胡椒粉下料器自動下料 產品再包裝在一起 實現增加效率，減少勞動力，更加穩定，減少次品率，為工廠實現利益最大化|Napkin cutlery automatic flowpack machine|Napkin cutlery automatic flowpack machine napkin former automatic fold, cut, feed spoon/fork/knife feeder automatic feed salt/pepper feeder automatic feed then packed together. it improve efficiency, reduce labor, more stable, Reduce the defective rate，keep Maximize benefits for factory.|
1704|228336|10.1L65|Quanzhou Hongtai Machinery Co.,Ltd|泉州宏泰机械有限公司|泉州宏泰機械有限公司|全自动粉碎机组|全自动粉碎机组主要供EVA,PVC发泡边角料，一次性射出鸡爪料等所有EVA再生料。|全自動粉碎機組|全自動粉碎機組主要供EVA,PVC發泡邊角料，一次性射出雞爪料等所有EVA再生料。|Automatic crusher mill sets|To recycle EVA，PVC waste foaming material,and EVA injection wastes.|
1705|226549|9.1F51|Guangdong TOPSTAR Technology Co.,Ltd|广东拓斯达科技股份有限公司|廣東拓斯達科技股份有限公司|六轴工业机器人|3C行业小负载机器人应用专家，紧凑稳定的机器人本体，世界领先的EtherCAT总线控制技术，高速度，高精度。 适用环境：IP65防护等级机身，正装，侧装，倒挂，多种安装方式，可满足各种工作环境需求。|六軸工業機器人|3C行業小負載機器人應用專家，緊湊穩定的機器人本體，世界領先的EtherCAT匯流排控制技術，高速度，高精度。 適用環境：IP65防護等級機身，正裝，側裝，倒掛，多種安裝方式，可滿足各種工作環境需求。|INDUSTRY ROBOT |Small load robot, application expert in 3C industry , compact and stable body, with world leading EtherCAT bus control technology, high-speed, high-precision. Applicable environment: IP65 protection grade body, front mounting, side mounting, mounting upside down, a variety of installation methods to meet the needs of work environment.|
1706|227312|2.2J51|NANJING HAISI EXTRUSION EQUIPMENT CO.,LTD|南京海思挤出机设备有限公司|南京海思擠出機設備有限公司|平行双螺杆挤出机|1.新型平行三轴传动方案，减速与扭矩分配一体式，关键轴承进口。 2.计算机设计优化齿轮参数，强化设计安全余量。 3.传动部件选材讲究，超高强度合金渗碳钢，磨齿工艺，齿面强化处理，确保高扭矩、高精度、低噪音。 4.齿轮侵油润滑与喷淋润滑相结合的润滑方式。|平行雙螺杆擠出機|1.新型平行三軸傳動方案，減速與扭矩分配一體式，關鍵軸承進口。 2.電腦設計優化齒輪參數，強化設計安全餘量。 3.傳動部件選材講究，超高強度合金滲碳鋼，磨齒工藝，齒面強化處理，確保高扭矩、高精度、低噪音。 4.齒輪侵油潤滑與噴淋潤滑相結合的潤滑方式。|Parallel co rotating twin screw extruder |1.New-style project of parallel three-axises driving makes the convey axis, convey chain, decelerate and torque get together, which keep it compact, and the key bearings are imported. 2.The computer designs to optimize gear parameters and strengthen safe overmeasure. 3.The selected material of drive components is dainty. Including super intention alloy cementiteing steel, cementiting and grinding technics, strengthening of tooth face. so they can ensure high torque, high precision and low noise. 4.Soakage and spraying lubriation integrate smoothy.|
1707|228615|12.1T25|QE GRANULATORS LIMITED|宁波意菲特环保设备有限公司|寧波意菲特環保設備有限公司|特种产品专用单轴撕碎机|可再生资源设备—废旧塑料撕碎机 废旧塑料撕碎机也叫废旧塑料粉碎机，是一款专门处理废旧塑料的设备。塑料撕碎机主要用于把废旧硬质塑料和软质塑料通过此塑料撕碎机的撕碎，可直接将废旧塑料破碎至10mm左右的颗粒。|特種產品專用單軸撕碎機|可再生資源設備—廢舊塑膠撕碎機 廢舊塑膠撕碎機也叫廢舊塑膠粉碎機，是一款專門處理廢舊塑膠的設備。塑膠撕碎機主要用於把廢舊硬質塑膠和軟質塑膠通過此塑膠撕碎機的撕碎，可直接將廢舊塑膠破碎至10mm左右的顆粒。|QSS single shaft shredder ||
1708|227462|13.1B21|Takebishi (Dalian) Industrial Co., Ltd.|竹菱（大连）实业有限公司|竹菱（大連）實業有限公司|400米高速电子轴凹版印刷机|400米高速电子轴凹版印刷机：采用低于2g的日本低惯量导辊和冷却辊，保证低张力薄膜的高速印刷，印刷速度可达400米/分，为用户解决了低速印刷所浪费的时间和高速印刷过程中薄膜的张力问题；设备的墙板等关键部件采用高质量铸件，使用日本三菱五面体加工中心一次加工成型，保证精度在0.01mm以内；设备采用专利技术油墨槽，大幅减少油墨的浪费和气味的排放；本机采用日本本社技术，印刷套印系统、气动组件等全部日本进口，首次选用在中国无法生产的日本涂膜压印辊，压力均衡无漏印；应用于食品、药品、服装等包装行业。|400米高速電子軸凹版印刷機|400米高速電子軸凹版印刷機：採用低於2g的日本低慣量導輥和冷卻輥，保證低張力薄膜的高速印刷，印刷速度可達400米/分，為用戶解決了低速印刷所浪費的時間和高速印刷過程中薄膜的張力問題；設備的牆板等關鍵部件採用高品質鑄件，使用日本三菱五面體加工中心一次加工成型，保證精度在0.01mm以內；設備採用專利技術油墨槽，大幅減少油墨的浪費和氣味的排放；本機採用日本本社技術，印刷套印系統、氣動元件等全部日本進口，首次選用在中國無法生產的日本塗膜壓印輥，壓力均衡無漏印；應用於食品、藥品、服裝等包裝行業。|400m/min high speed electrical shaft rotogravure printing machine.|400m/min high speed electrical shaft rotogravure printing machine： Adopts low-innertia guide rollers and cooling rollers (less than 2g) from japan, ensures the stability of low tension films duing high speed printing. The maximum printing speed is at 400m/min, which helps save tremendous time and solves the tension problem during printing；The machine body frames and other important spare parts are made from high quality one-time casting by using Mitsubishi pentahedron machining center from Japan, which ensures the machining precision is within 0.01mm; the print ink and the odor from the ink can be reduced substantially by utilizing patented fountain ink tray; this machine adopts the latest technology from Japan head office, printing register control, pneumatic components and other spare parts are all imported from Japan, equipped with Japanese coated press rollers, balanced pressure ensures full mass printing; widely used in food, pharmaceutical,clothing and other packaging industries.|
1709|226596|7.1C61|CHANGLONGXING SCIENCE & TECHNOLOGY (SHENZHEN) CO.,LTD|昌龙兴科技（深圳）有限公司|昌龍興科技（深圳）有限公司|2000mm 全新高速流延膜设备|1.源于30年实践经验的专业技能以及持续不断的改进，使得昌龙机械成为顶尖技术的产品。 2.本高速机组的多幅分切边料通过运行特别可靠的回收系统得到顺利回收，并有很高的回收率。 3.退卷与穿纸管同步进行，缩短换卷时间，换一次卷时间大约28-30秒，可实现在高速收卷情况。|2000mm 全新高速流延膜設備|1.源於30年實踐經驗的專業技能以及持續不斷的改進，使得昌龍機械成為頂尖技術的產品。 2.本高速機組的多幅分切邊料通過運行特別可靠的回收系統得到順利回收，並有很高的回收率。 3.退卷與穿紙管同步進行，縮短換卷時間，換一次卷時間大約28-30秒，可實現在高速收卷情況。|2000mm Latest Fully Automatic High Speed Cast Stretch Film Machine|1.Based on 30 years professional skills and continuous improvement, ChangLongXing Machine becomes a top tier technology products. 2.The multiple edge material will be successful recovered through a smoothly running recovery system of this high-speed unit, the recovery system have a high recovery rate. 3.Unwinding and wear paper tube to synchronize,shorten the time of change roll, for a time of about 28-30 seconds, 2-3KG small film volume can be produced in the case of high speed rolling. 4.Fully automatic four shafts to change rolls, high speed,high output. 5.The big cooling roller and strong double layers vacuum box ,the great combination to make good cooling ,to produce good high quality stretch film.|
1710|228331|9.3M79|Beijing Dazheng Weiye Plastics Auxiliary Co,.Ltd|北京大正伟业塑料助剂有限公司|北京大正偉業塑膠助劑有限公司|纳米编织袋专用填充母料|高速拉丝填充母料应用于塑料编织袋工业，应用在国内外产的高速拉丝机上因产品添加量大，产品丝优良著称，本产品在提高丝产量同时也显著提高性能，同时高速拉丝母料无味，无毒，流动性好，分散性佳，水分小等特点。在高速拉丝母料应用中，产品不堵网，粉尘小，强度高，显著降低产品成本。|納米編織袋專用填充母料|高速拉絲填充母料應用於塑膠編織袋工業，應用在國內外產的高速拉絲機上因產品添加量大，產品絲優良著稱，本產品在提高絲產量同時也顯著提高性能，同時高速拉絲母料無味，無毒，流動性好，分散性佳，水分小等特點。在高速拉絲母料應用中，產品不堵網，粉塵小，強度高，顯著降低產品成本。|Nanometer master-batch for woven bags|Transparent film master-batch is a product of the China Plastics Processing Association,Modified Plastics Professional Committee. This Master-batch was widely used in PE ,PP, various plastic film and geotechnical materials productions, and a few good phase infusible with HDPE and LDPE or LLDPE . The formulation was configured to latest ternary compound system: polymer ,elastomer ,and the inorganic powder.|
