TitleENG|TitleTC|TitleSC|AgentNameENG|AgentNameTC|AgentNameSC|ContactNameENG|ContactNameTC|ContactNameSC|HotelID|addressENG|addressTC|addressSC|telENG|telTC|telSC|faxENG|faxTC|faxSC|emailENG|emailTC|emailSC|websiteENG|websiteTC|websiteSC|logo|logoMobile|withrecommend|HotelCartgoryID|remarksENG|remarksTC|remarksSC|remarksMoreENG|remarksMoreTC|remarksMoreSC|orders
Official Travel Agency|大會指定接待服務單位|大会指定接待服务单位|J.N.H Business Service Co., Ltd|嘉年行商務服務有限公司|嘉年行商务服务有限公司|Ms. Alison Li (For overseas enquiry) / Ms. Bella Wang (For local enquiry)|王芳女士（本地查詢）/ 李靜女士（海外查詢）|王芳女士 (本地查询) / 李静女士 (海外查询)| |Room 902, Building A, KunSha Center, No.16 of Xinyuanli, Chaoyang District, Beijing 100027, PR China|北京朝陽區新源里16號琨莎中心A座902室（郵編：100027）|北京朝阳区新源里16号琨莎中心A座902室 (邮编：100027)|86 13011849109 / 86 18519656651 / 86 17717366657|86 13011849109 / 86 18519656651 / 86 17717366657|86 13011849109 / 86 18519656651 / 86 17717366657||||alison@jnh-bs.com,bella@jnh-bs.com|alison@jnh-bs.com,bella@jnh-bs.com|alison@jnh-bs.com,bella@jnh-bs.com|http://www.expohotels.cn/hotel/index_en.php?itemid=2991|http://www.expohotels.cn/hotel/?itemid=2991|http://www.expohotels.cn/hotel/?itemid=2991|https://www.chinaplasonline.com/apps/2018/hotel/0.png|https://www.chinaplasonline.com/apps/2018/hotel/0.png|0|OTA|Official Travel Agent Introduction:|大會指定接待服務單位介紹：|大会指定接待服务单位介绍：| | | |1
Endorsed Travel Agency|Empty|Empty|http://www.chinaplasonline.com/apps/2016/travel/travel.html|Empty|Empty| | | | | | | | | | | | | | | | |http://www.chinaplasonline.com/CPS18/Mobile/Home/lang-eng/Travel.aspx| | | | | | | | | | | | |2
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|InterContinental Shanghai NECC|國家會展中心上海洲際酒店|国家会展中心上海洲际酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png| |HR| | | | | | |3
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|PRIMUS Hotel Shanghai|上海虹橋綠地鉑瑞酒店|上海虹桥绿地铂瑞酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png| |HR| | | | | | |4
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|Langham Hospitality Group CORDIS Shanghai Hongqiao|上海虹橋康得思酒店|上海虹桥康得思酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png| |HR| | | | | | |5
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|Sofitel Shanghai Hongqiao|上海虹橋新華聯索菲特大酒店|上海虹桥新华联索菲特大酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/5_star_clear.png| |HR| | | | | | |6
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|The QUBE Hotel Shanghai Hongqiao|上海虹橋綠地鉑驪酒店|上海虹桥绿地铂骊酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png| |HR| | | | | | |7
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|Radisson Exhibition Center Shanghai|上海國展寶龍麗笙酒店|上海国展宝龙丽笙酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png| |HR| | | | | | |8
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|Howard Johnson Hongqiao Airport Hotel Shanghai|上海虹橋金古源豪生大酒店|上海虹桥金古源豪生大酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png| |HR| | | | | | |9
Hotels recommended by Beijing J.N.H Business Service Co., Ltd|推介酒店 – 嘉年行商務服務有限公司|推介酒店 - 嘉年行商务服务有限公司|Vienna International Hotel|維也納國際酒店|维也纳国际酒店| | | | | | | | | | | | | | | | | | | |https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png|https://www.chinaplasonline.com/apps/2018/hotel/4_star_clear.png| |HR| | | | | | |10
